Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
40,9,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,88
110,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,88
100,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,88
20,23,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,88
60,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
60,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
50,2.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
25,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
26.84,0.0833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
130,20,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
100,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
60,0.75,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
60,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
20,0.00277778,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
75,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
90,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
60,20,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
100,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,87
20,2.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
20,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
110,15,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
20,0.0833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
50,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
50,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,86
60,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
100,13,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
20,0.0166667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
119.84,3.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
25,0.416667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
70,0.333333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
60,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,15,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
110,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
70,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
100,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
90,18,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
25,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
40,9,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
20,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
80,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,85
60,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
80,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
70,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
70,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
130,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84.2
80,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
20,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
60,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
65,0.75,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
20,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
20,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,84
70,90,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
110,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
80,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
20,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
20,23,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
80,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,83
100,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
90,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
20,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
90,4.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
90,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
50,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
20,96,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
60,5.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
120,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
20,0.833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
20,48,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,82
60,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
90,2.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
60,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
80,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
20,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
70,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
50,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
110,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,81
100,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,80
20,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,80
95,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,80
80,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,80
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,80
