Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
40,5,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,67
140,12,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,56
25,0.0833333,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,48
25,5,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,33.4
20,3.7,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,33.4
20,40,O=CC1=CC(=CC=C1)N(=O)=O.NC1=CC=CC=C1S,O=N(=O)C1=CC=CC(=C1)C1=NC2=C(S1)C=CC=C2,31.5
25,0.166667,[H][C@@]12CC[C@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@]3(C)OC4=CC(O)=C(O)C(Cl)=C4C=C3[C@@]1(C)CCCC2(C)C,81.4
25,0.166667,[H][C@@]12CC[C@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@]3(C)OC4=CC(O)=C(O)C(Cl)=C4C=C3[C@@]1(C)CCCC2(C)C,81.4
25,0.0833333,[H][C@@]12CC[C@@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O)C(O)=C4,82
25,0.0833333,[H][C@@]12CC[C@@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@@]3(C)OC4=C(C=C3[C@@]1(C)CCCC2(C)C)C(Cl)=C(O)C(O)=C4,82
25,0.5,[H][C@@]12CC[C@@]3(C)OC4=C(C[C@]3([H])[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@@]3(C)OC4=C(C[C@]3([H])[C@@]1(C)CCCC2(C)C)C(Cl)=C(O)C(O)=C4,83
25,0.5,[H][C@@]12CC[C@@]3(C)OC4=C(C[C@]3([H])[C@@]1(C)CCCC2(C)C)C(Cl)=C(O[Si](C)(C)C(C)(C)C)C(O[Si](C)(C)C(C)(C)C)=C4,[H][C@@]12CC[C@@]3(C)OC4=C(C[C@]3([H])[C@@]1(C)CCCC2(C)C)C(Cl)=C(O)C(O)=C4,83
25,3,CC(C)(C)[Si](C)(C)OC1=CC(O)=C(Br)C(Cl)=C1O[Si](C)(C)C(C)(C)C.CC(C)(C)[Si](C)(C)Cl,CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=C(Br)C(Cl)=C1O[Si](C)(C)C(C)(C)C,99
25,3,CC(C)(C)[Si](C)(C)OC1=CC(O)=C(Br)C(Cl)=C1O[Si](C)(C)C(C)(C)C.CC(C)(C)[Si](C)(C)Cl,CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=C(Br)C(Cl)=C1O[Si](C)(C)C(C)(C)C,99
60,10,CN1C=CN=C1.BrCCCCBr,[Br-].CN1C=C[N+](CCCCBr)=C1,84
