Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
90,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
24.85,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
25,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99.9
20,0.583333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
20,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
100,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
29.84,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
70,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
25,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
60,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
20,0.0833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
25,0.0833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
60,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,99
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,0.333333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
80,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
50,4.25,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,0.416667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
25,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
25,1.2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
110,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
60,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
25,0.9,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
50,0.283333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
80,4.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
50,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
70,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,98
20,0.333333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
55,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
30,0.25,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
50,0.133333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,23,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
30,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,97
20,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,0.25,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,15,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
60,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
25,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
80,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
70,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
120,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
65,1.66667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
25,15,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
25,0.583333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
25,0.166667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
70,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,96
20,0.17,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
90,0.33,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,0.116667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
65,11,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
60,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,0.0833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
70,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
60,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
80,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
60,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
70,7.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
50,0.166667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
30,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
70,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
70,16,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,0.116667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
120,9,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
60,0.333333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
80,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
40,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
100,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
70,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
80,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
25,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
40,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
140,36,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,95
100,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,3.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,0.05,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
50,8,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
30,2,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
110,11,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
90,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
40,7,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
65,7.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
50,0.833333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,0.366667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
70,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
80,0.133333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
110,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
25,3.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,94
20,0.166667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
25,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
80,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
50,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
80,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
25,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
30,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
80,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
65,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
20,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
25,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
80,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
60,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
30,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
80,30,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
60,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
90,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
20,18,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
60,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,93
60,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
60,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
20,0.133333,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
60,0.08,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
50,0.166667,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
75,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
65,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
90,1.3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
90,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
20,6,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
65,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
80,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
90,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
50,26,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
60,3,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
60,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
20,5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
70,24,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
20,4,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
40,0.25,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
40,0.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
70,10,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
130,12,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,92
60,2.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,91
20,1,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,91
20,1.5,OCC1=CC=C(Cl)C=C1,ClC1=CC=C(C=O)C=C1,91
