Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
100,8,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,86
120,24,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,85
130,18,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,84
110,2.5,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,84
140,40,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,82
120,15,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,82
100,22,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,81
160,0.0666667,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,80
20,8,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,80
100,10,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,79
40,1,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,79
120,4,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,75
60,6,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,75
110,24,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,74
140,2.5,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,73
170,72,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,70
130,6,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,70
100,4,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,70
140,24,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,70
120,15,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,68
130,0.666667,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,65
80,1,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,63
20,0.333333,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,63
120,24,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,61
120,15,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,60
60,3.8,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,48
100,20,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,43
120,20,C=CC1=CC=CC=C1.BrC1=CC=C(C=C1)N(=O)=O,O=N(=O)C1=CC=C(C=CC2=CC=CC=C2)C=C1,20
20,0.333333,Cl[H].CNOC,CON(C)C(=O)C(COC(C)(C)C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,100
20,0.333333,Cl[H].CNOC,CON(C)C(=O)C(COC(C)(C)C)NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2,100
60,2,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,99
130,2,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,99
130,0.5,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
130,2,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
90,12,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
80,0.15,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
65,0.166667,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
100,0.166667,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,98
110,0.5,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,97
130,5,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,97
20,18.1667,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,96
20,18.17,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,96
130,5,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,96
90,0.5,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,96
100,17,IC1=CC=C(C=C1)N(=O)=O.CCCCOC(=O)C=C,CCCCOC(=O)C=CC1=CC=C(C=C1)N(=O)=O,96
