Temperature ,Time,Reactant SMILES,Product SMILES,Yield 
70,0.166667,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,99
60,3,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,99.4
120,3,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,99.1
110,24,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
20,0.3,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
70,0.166667,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
120,3,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98.3
80,2,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
120,2,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
20,0.333333,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
200,0.45,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,98
100,8,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,97
40,1.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,96
110,4,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,95
90,0.133333,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,94
150,0.333333,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,93
70,6,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,92
100,0.0833333,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,92
100,1,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,92
20,0.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,91
100,4,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,90
20,3,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,90
60,0.583333,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,89
130,0.166667,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,87
20,0.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,85
20,2.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,81
0,2.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,80
20,13,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,77
20,3.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,74
70,1.5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,72
60,5,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,69
20,1,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,60
60,24,CC(O)=O.NC1=CC=CC=C1,CC(=O)NC1=CC=CC=C1,14
78,1.5,CC1=CCOC1=O,CC1=CC(Br)OC1=O,100
20,2,CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(O)=O.NC[C@H](NC(=O)OCC1C2=C(C=CC=C2)C2=C1C=CC=C2)C(O)=O,CC(C)(C)OC[C@@H](NC(=O)OC(C)(C)C)C(=O)NC[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(O)=O,66
